DENGUE CASES IN DAVAO CITY BY DISTRICT 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,4,8,13,8,10,7,6,5,8,10,16,4,17,11,8,15,16,20,16,26,20,19,28,37,31,26,8,27,12,22,20,20,16,11,7,4,8,7,18,12,9,6,3,4,1,11,5,6,9,8,9,9,661
BAGUIO,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,2,1,1,0,2,2,1,2,2,1,2,1,0,0,1,0,0,1,0,0,2,0,1,0,1,3,2,2,0,1,39
BUHANGIN,14,15,18,15,20,10,11,23,12,11,17,9,9,20,16,14,14,11,28,19,28,22,26,26,41,37,22,46,35,48,50,45,31,28,15,24,26,18,22,30,15,22,10,17,7,17,9,24,12,26,13,16,1114
BUNAWAN,10,7,5,6,17,6,9,5,10,7,8,6,9,10,7,10,9,7,11,10,10,10,17,20,17,18,8,26,16,23,29,17,15,5,7,8,8,17,12,15,16,5,7,6,5,9,6,8,9,8,6,12,564
CALINAN,1,1,1,0,1,0,1,0,1,0,0,0,1,2,3,1,1,3,1,0,0,3,3,1,3,8,5,9,4,5,7,2,0,0,2,2,0,2,2,5,4,3,4,2,3,1,5,0,4,4,2,2,115
DISTRCIT A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DISTRICT A,3,5,3,3,6,5,7,5,3,7,7,7,4,8,7,8,3,5,5,8,10,11,20,16,13,6,5,7,10,15,10,7,9,7,0,7,10,10,6,11,10,2,3,3,2,1,5,1,1,1,4,1,333
DISTRICT B,7,1,4,6,6,3,2,3,5,1,3,6,6,5,9,8,9,6,12,19,12,8,11,16,17,17,11,17,13,25,18,10,10,13,6,8,9,9,7,8,7,5,3,4,3,3,3,4,1,4,4,4,411
DISTRICT C,5,3,3,6,3,7,4,10,4,11,9,10,4,4,10,12,6,3,12,6,7,15,15,16,22,12,6,7,8,9,12,5,2,3,3,2,5,5,4,6,5,7,0,6,1,4,3,2,2,1,2,4,333
DISTRICT D,1,5,4,3,5,6,6,11,4,5,10,3,4,7,7,6,6,6,13,7,9,8,5,9,8,8,2,7,7,7,4,8,7,1,2,3,2,2,5,4,1,5,1,3,0,0,3,1,0,2,3,2,248
