DENGUE CASES IN DAVAO CITY BY DISTRICT 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,1,7,3,7,7,8,5,5,5,3,4,1,6,5,1,2,5,4,3,8,8,6,3,8,11,8,7,14,16,23,8,15,19,23,10,15,8,13,12,8,5,8,14,7,3,8,2,3,9,3,6,5,398
BAGUIO,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,1,0,0,1,0,1,1,0,1,1,3,2,2,2,1,0,1,3,2,2,0,3,2,2,41
BUHANGIN,5,11,1,10,11,5,7,12,5,11,10,5,9,8,6,6,7,9,6,9,13,10,9,25,24,27,22,18,15,33,21,29,31,36,33,27,33,18,22,15,16,16,14,15,13,13,9,10,10,15,14,21,780
BUHANGIN DISTRICT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BUNAWAN,3,4,1,7,5,7,3,3,6,4,8,0,2,4,2,2,2,2,7,6,7,7,7,9,12,20,14,18,22,23,16,19,14,19,13,7,7,7,9,13,7,7,3,4,4,5,6,5,7,2,3,0,394
CALINAN,2,1,1,3,5,0,8,3,2,2,0,0,0,6,0,0,2,3,4,2,0,2,3,5,4,5,9,7,8,13,2,5,5,1,3,5,5,3,2,2,3,4,2,2,1,4,4,2,3,2,0,5,165
DISTRICT A,2,4,3,3,0,7,3,2,3,2,3,2,2,2,3,0,4,2,3,1,1,5,3,9,12,7,9,8,14,5,6,8,14,17,12,14,7,9,9,4,4,4,4,2,3,4,6,1,3,1,2,5,263
DISTRICT B,4,4,2,3,6,1,6,3,2,4,2,2,5,3,1,2,2,3,5,4,7,9,7,9,13,14,17,14,24,20,4,20,18,9,8,7,7,3,8,9,5,9,6,6,8,3,5,6,5,3,1,6,354
DISTRICT C,0,6,0,3,6,4,2,5,3,1,2,2,0,2,2,2,3,0,1,3,5,3,1,1,2,5,8,6,11,12,6,10,5,7,3,7,3,2,5,5,2,2,5,3,5,1,0,1,2,1,1,0,177
DISTRICT D,0,3,2,2,5,2,8,0,1,6,5,0,0,3,2,1,6,4,3,5,5,5,3,4,7,16,9,11,11,10,8,6,6,6,1,6,2,5,2,4,2,3,4,1,3,0,2,1,0,0,0,2,203
MARILOG,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,2,2,2,4,3,1,3,0,0,1,0,0,0,2,0,1,0,0,0,1,0,2,0,0,1,0,34
PAQUIBATO,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,5,1,4,0,3,3,0,1,0,1,1,4,1,1,0,2,0,0,0,0,0,1,0,0,36
SASA,0,7,10,8,2,2,4,3,3,1,1,2,1,1,0,3,2,2,4,4,5,1,4,12,8,8,10,17,12,14,6,12,22,13,13,6,7,7,4,4,5,9,8,10,5,5,4,8,4,7,2,2,314
TALOMO NORTH,8,14,16,25,14,14,14,20,25,8,6,4,6,9,6,7,8,6,12,19,13,29,21,37,36,39,34,51,56,53,24,51,53,56,42,28,36,29,25,22,15,22,18,13,11,14,10,5,12,11,8,15,1130
TALOMO SOUTH,2,16,7,11,12,12,13,18,11,7,6,8,6,1,11,8,4,10,6,14,13,15,23,26,34,35,38,38,46,44,24,44,37,22,24,20,27,17,13,12,11,10,15,12,15,2,8,9,9,10,4,6,846
TORIL,1,4,6,9,1,2,2,1,0,2,2,0,1,1,2,1,1,1,0,3,2,3,4,3,2,6,4,6,7,13,6,8,10,9,10,7,3,6,8,1,3,3,2,5,6,3,4,3,1,0,2,4,194
TUGBOK,1,5,2,3,3,1,5,2,0,8,2,1,0,1,3,1,0,3,3,2,7,6,5,3,16,20,11,9,15,9,19,10,9,14,12,6,6,7,8,6,4,8,4,1,2,5,3,3,1,3,2,3,283
TOTAL,31,86,55,94,78,65,82,79,66,59,52,28,38,46,40,35,47,50,57,80,87,102,94,152,183,218,194,221,265,277,157,239,249,236,185,157,152,128,131,113,85,109,100,83,80,71,65,61,66,62,48,76,5614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
