DENGUE CASES IN DAVAO CITY BY DISTRICT 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,3,4,7,2,1,6,4,3,5,7,5,3,2,2,6,5,3,3,5,3,4,5,5,3,4,7,7,4,8,10,7,9,15,5,5,15,6,4,2,4,5,10,5,5,5,10,4,3,4,7,7,3,276
BAGUIO,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,3,1,1,0,0,3,2,1,1,1,4,1,8,3,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,49
BUHANGIN,11,5,4,6,3,4,3,5,5,4,5,6,4,7,4,8,1,7,3,1,1,4,2,5,2,5,10,13,21,14,9,11,18,16,19,24,11,7,19,16,15,15,11,11,13,13,16,16,6,15,8,11,473
BUNAWAN,6,5,7,7,6,5,8,4,6,2,3,3,1,3,2,4,5,8,3,7,5,5,5,6,8,7,6,5,8,12,7,5,6,6,7,8,4,4,9,10,7,8,9,8,6,10,2,9,5,8,11,6,317
CALINAN,1,1,0,0,0,1,0,0,2,0,3,2,5,0,5,3,0,2,1,3,2,2,3,1,7,2,2,4,3,1,1,5,2,1,1,1,0,0,0,1,2,0,1,1,1,2,3,0,1,0,0,1,80
DISTRICT A,2,0,2,3,1,1,4,1,3,2,2,2,0,3,3,1,3,5,7,2,2,5,3,1,6,2,6,6,8,12,7,10,5,5,2,7,5,5,4,6,3,4,4,4,2,2,7,1,1,2,1,2,187
DISTRICT B,2,1,2,2,0,2,3,1,2,0,1,1,0,4,3,1,3,0,1,0,0,1,4,1,4,3,5,5,5,6,3,2,10,2,2,8,4,1,4,7,3,6,2,3,2,4,3,2,2,4,1,2,140
DISTRICT C,1,1,1,1,0,1,1,0,0,2,7,3,1,7,4,7,3,2,4,3,3,3,5,3,4,0,7,6,5,6,9,6,13,8,5,8,6,6,2,1,1,4,1,3,2,2,6,1,1,1,6,2,185
DISTRICT D,2,0,0,1,5,0,1,4,4,3,6,1,3,1,0,2,1,1,0,3,2,0,2,6,1,3,6,5,4,7,3,3,0,5,2,2,3,4,0,5,4,5,1,4,9,4,4,0,3,3,3,3,144
MARILOG,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19
PAQUIBATO,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,1,1,3,0,0,0,3,0,0,1,2,0,1,0,0,0,0,2,2,4,0,0,0,1,1,2,1,0,0,1,1,1,1,0,2,1,38
SASA,6,3,2,3,2,1,6,3,1,0,5,6,1,5,3,1,2,2,3,4,2,2,3,4,3,6,4,6,4,10,11,16,16,13,14,14,8,5,10,8,12,7,6,12,7,6,6,4,7,5,4,5,299
TALOMO,0,0,0,1,0,0,1,0,2,0,2,1,0,0,1,1,0,1,0,0,2,0,4,0,0,0,1,2,1,0,2,1,2,0,0,2,1,0,0,1,0,1,0,3,0,0,1,0,2,0,2,0,38
TALOMO NORTH,6,5,5,11,6,9,8,7,6,9,8,5,4,7,7,11,7,12,3,7,6,9,6,10,19,14,20,26,24,17,18,16,19,12,8,15,8,9,13,6,4,14,15,6,5,10,14,9,7,11,12,5,530
TALOMO SOUTH,4,5,5,4,6,6,3,3,5,7,3,5,6,4,5,2,5,5,6,7,3,6,5,11,9,6,3,16,11,13,15,12,9,15,8,11,5,9,6,10,12,9,6,8,7,3,4,10,4,3,3,6,354
TORIL,2,4,2,2,2,2,1,1,4,6,1,0,1,0,1,0,1,1,1,3,2,1,1,2,1,1,1,3,0,3,0,1,1,3,1,3,0,1,2,1,2,2,3,0,1,2,2,0,0,2,3,1,81
TUGBOK,1,3,0,1,2,1,1,0,0,0,0,3,1,0,1,0,3,0,1,0,0,2,2,3,0,0,2,4,1,5,2,2,2,2,1,4,3,2,0,1,0,0,2,1,3,2,3,0,4,5,1,1,78
TOTAL,47,38,37,44,34,43,45,32,46,45,52,41,29,44,46,50,40,51,42,43,37,48,54,58,70,61,83,113,108,117,95,100,120,98,79,128,66,60,72,78,72,87,67,69,63,72,78,56,50,66,64,50,3288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
