DENGUE CASES IN DAVAO CITY BY DISTRICT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,10,7,9,9,6,13,8,7,4,3,2,3,0,2,1,6,1,3,3,4,3,10,2,4,10,5,4,7,5,3,11,5,14,15,6,10,6,4,8,3,2,2,2,2,4,2,2,3,7,4,2,3,271
BAGUIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BUHANGIN,6,7,16,9,3,6,9,5,8,7,5,1,3,9,3,0,5,4,5,6,3,5,1,4,4,6,10,11,2,15,4,5,11,7,6,5,3,4,2,5,1,5,5,2,0,3,1,1,1,3,3,4,259
BUNAWAN,5,1,1,5,6,8,6,4,3,1,3,0,2,3,1,1,4,0,3,3,1,1,0,3,4,3,2,2,3,0,3,5,2,3,2,4,0,1,4,1,2,1,0,1,1,2,0,0,4,0,1,2,118
CALINAN,3,1,3,2,1,1,1,0,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,30
DISTRICT A,4,3,3,1,3,1,3,1,3,3,1,1,0,2,1,0,1,1,1,1,0,0,1,4,2,4,5,1,2,1,3,3,2,0,2,0,4,1,1,1,1,2,1,0,0,0,1,3,4,3,0,3,89
DISTRICT B,3,2,4,3,5,2,3,1,2,1,0,4,1,2,1,1,2,3,3,3,0,2,1,0,1,2,4,1,1,0,1,3,0,1,3,3,2,2,1,2,1,1,0,0,1,0,2,1,1,1,1,3,88
DISTRICT C,5,3,5,4,3,6,0,1,1,1,3,1,2,0,1,1,1,1,3,0,0,3,1,0,2,9,3,1,2,2,3,3,8,1,1,1,2,1,2,0,0,2,0,1,0,1,1,0,0,0,2,0,94
DISTRICT D,3,2,3,2,0,1,1,2,3,4,1,2,1,2,1,0,0,1,1,1,1,0,3,1,1,3,4,2,3,1,2,1,2,1,0,3,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,64
MARILOG,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5
OTHERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
