DENGUE CASES IN DAVAO CITY BY DISTRICT 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,8,4,7,6,6,7,3,8,5,5,6,2,4,2,3,4,7,12,7,6,10,9,8,11,20,28,28,36,33,40,33,38,22,23,20,8,14,15,10,9,5,7,4,7,8,1,5,4,3,2,1,0,574
BAGUIO,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,2,1,1,0,1,1,0,2,2,3,1,3,3,0,1,2,1,1,1,1,2,1,2,1,1,0,0,1,1,1,1,0,0,44
BUHANGIN,24,26,17,12,15,16,6,20,12,18,9,11,9,18,7,8,9,18,21,17,28,27,27,40,53,75,79,111,113,115,78,85,73,52,44,37,47,37,49,23,19,19,15,18,20,5,3,7,6,5,1,2,1606
BUNAWAN,9,4,4,2,4,8,11,5,5,6,7,6,4,5,1,0,1,3,3,5,4,11,15,9,14,15,16,36,31,36,20,23,28,29,24,25,17,20,16,14,5,10,6,6,4,5,5,1,3,1,2,0,544
CALINAN,0,2,0,2,2,5,1,1,2,2,2,1,5,1,1,1,1,5,7,8,6,4,8,5,12,7,3,8,9,18,17,16,7,7,7,7,4,3,1,1,4,2,6,0,1,1,2,0,2,2,1,3,223
DISTRICT A,5,3,4,6,2,5,4,3,1,0,1,1,1,1,2,0,0,2,3,3,2,7,4,4,10,16,13,17,22,21,26,18,18,15,10,7,2,3,6,5,8,3,0,4,2,1,0,1,2,1,0,1,296
DISTRICT B,5,3,8,6,7,4,3,7,4,2,2,4,3,3,3,3,6,1,11,7,9,5,7,16,19,26,18,27,27,20,23,8,19,14,6,10,9,12,11,7,6,5,3,0,2,1,0,1,0,1,1,0,405
DISTRICT C,4,5,0,6,5,4,5,2,1,7,4,2,2,0,0,2,4,2,4,3,0,5,6,5,4,11,9,13,12,15,10,10,10,10,14,12,11,11,6,6,10,5,3,4,4,2,2,2,1,2,1,0,278
DISTRICT D,2,7,1,3,3,4,3,1,2,3,1,0,0,3,1,1,1,1,2,1,1,3,7,3,2,11,13,9,15,8,14,11,5,4,8,7,10,12,6,8,2,3,2,0,1,0,1,2,1,1,0,1,211
MARILOG,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,2,9,5,2,2,4,1,5,3,3,1,3,6,1,2,0,2,1,0,0,0,0,0,1,0,0,0,65
PAQUIBATO,7,1,3,1,3,3,0,0,1,3,0,0,1,1,0,0,2,1,1,0,3,3,0,1,6,2,3,6,2,1,2,3,4,1,2,2,2,1,1,1,0,1,0,0,2,2,1,1,2,0,1,0,84
TALOMO,21,20,13,18,22,15,17,29,23,7,12,13,9,9,6,8,11,20,13,25,31,34,42,57,68,95,109,124,124,110,97,111,105,82,76,66,51,48,51,28,26,20,12,19,25,12,14,3,7,11,4,3,1976
