DENGUE CASES IN DAVAO CITY BY DISTRICT 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIDITYWEEK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,TOTAL
AGDAO,9,4,4,3,3,4,1,2,1,0,0,2,0,1,0,0,1,0,2,2,0,1,2,2,3,1,3,3,3,0,2,5,1,1,3,5,1,5,5,4,2,4,2,5,11,3,7,4,9,9,9,3,157
BAGUIO,1,2,3,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,2,0,0,0,0,2,1,1,0,0,26
BUHANGIN,16,14,12,10,6,6,7,3,4,9,4,0,5,3,3,0,0,3,1,4,4,10,7,4,4,6,8,5,14,5,11,8,8,10,7,14,10,16,13,11,8,12,14,12,17,13,13,12,19,10,21,2,438
BUNAWAN,3,3,1,4,1,1,3,1,2,2,0,2,2,3,0,1,4,2,7,1,0,1,0,4,3,4,5,3,8,3,4,4,0,4,2,4,1,4,7,2,2,6,3,5,3,8,5,6,5,8,9,3,169
CALINAN,3,4,2,3,2,1,1,1,1,1,0,0,1,0,1,1,1,2,1,0,0,1,1,0,0,0,2,0,2,2,1,0,2,4,1,3,3,2,0,7,1,0,4,3,1,2,2,4,0,1,1,2,78
DISTRICT A,1,2,4,4,3,2,2,0,1,1,1,0,0,0,0,0,1,1,0,2,2,1,2,2,4,2,3,5,3,2,4,1,1,2,1,3,4,4,3,3,2,2,1,2,2,3,3,2,1,2,4,1,102
DISTRICT B,7,2,0,2,3,0,2,2,3,3,3,2,1,4,1,2,1,1,0,1,0,0,0,2,3,1,0,2,5,1,1,5,1,3,2,3,2,0,4,1,3,3,2,4,3,0,5,2,3,3,3,4,111
DISTRICT C,3,1,2,0,0,1,0,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,2,1,0,1,3,1,4,1,1,2,2,2,0,1,3,3,0,1,0,2,2,0,2,1,52
DISTRICT D,0,1,1,0,0,0,0,1,3,0,1,1,1,0,1,0,0,1,0,0,0,2,2,3,1,3,3,1,2,1,1,0,3,1,2,1,0,0,1,1,1,1,1,3,3,1,0,1,2,1,1,1,55
MARILOG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,12
